mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	0	0	0.0	0	1/4	Tempo	2/4	1	1	0									Cantabile	74	
1	0	0	0.0	0	1/4	Dynamic	2/4	1	1	0						f					
1	0	0	0.25	0	1/4	Chord	2/4	1	1	1/16			1/16	1	0						0
1	0	1/4	0.25	1/16	5/16	Chord	2/4	1	1	1/16			1/16	1	1						0
1	0	1/2	0.25	1/8	3/8	Chord	2/4	1	1	1/16			1/16	1	2						0
1	0	3/4	0.25	3/16	7/16	Chord	2/4	1	1	1/16			1/16	1	3						
1	0	0	1.0	0	1/4	Chord	2/4	2	1	1/4			1/4	1	4						
2	1	1	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	5						1
2	1	5/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	6						
2	1	3/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	7						
2	1	2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	8						
2	1	9/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	9						2
2	1	5/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	10						2
2	1	11/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	11						
2	1	1	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	12						
2	1	2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	13						
3	2	3	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	14						3
3	2	13/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	15						
3	2	7/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	16						
3	2	4	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	17						
3	2	17/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	18						4
