mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Largo	46.0			1.0	
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0								0
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1								0
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2								
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	3								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	4								
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	5								
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	6								
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	7								1
2	2	4	4	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	8								
2	2	11/2	11/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0					p							
2	2	11/2	11/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	9								
2	2	45/8	45/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	10								
2	2	23/4	23/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	11								
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	12								
2	2	4	4	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	13								
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	14								
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	15								
3	3	6	6	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	16								
3	3	49/8	49/8	0.375	1/32	1/32	Chord	3/4	1	1	3/32		1/16	3/2	17								
3	3	13/2	13/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	18								
