mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	4/4	1	1	0									Allegro	126	
1	1	0	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥 = 80	80	
1	1	1/2	0.0	1/8	1/8	Dynamic	4/4	1	1	0						p					
1	1	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	0						
1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	1						
1	1	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	2						
1	1	2	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	3						0
1	1	11/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32			1/32	1	4						0
1	1	23/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32			1/32	1	5						
1	1	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	6						
1	1	1/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8			1/8	1	7						
1	1	1	0.5	1/4	1/4	Chord	4/4	1	2	1/8			1/8	1	8						
1	1	3/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8			1/8	1	9						
1	1	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4			1/4	1	10						
1	1	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4			1/4	1	11						
2	2	9/2	0.0	1/8	1/8	Dynamic	4/4	1	1	0						mf					
2	2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	12						
2	2	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	13						
2	2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	14						
2	2	6	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	15						1
2	2	27/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32			1/32	1	16						1
2	2	55/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32			1/32	1	17						
2	2	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	18						
2	2	9/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8			1/8	1	19						
2	2	5	0.5	1/4	1/4	Chord	4/4	1	2	1/8			1/8	1	20						
2	2	11/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8			1/8	1	21						
2	2	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4			1/4	1	22						
2	2	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4			1/4	1	23						
3	3	8	0.0	0	0	Dynamic	4/4	1	1	0						f					
3	3	8	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	24						
3	3	9	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	25						
3	3	37/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32			1/32	1	26						
3	3	75/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32			1/32	1	27						
3	3	19/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32			1/32	1	28						
3	3	77/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32			1/32	1	29						
3	3	39/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32			1/32	1	30						
3	3	79/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32			1/32	1	31						
3	3	10	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	32						2
3	3	41/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	33						
3	3	21/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	34						3
3	3	43/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	35						
3	3	11	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	36						4
3	3	45/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	37						
3	3	23/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	38						5
3	3	47/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	39						
3	3	65/8	0.0	1/32	1/32	Dynamic	4/4	2	1	0						f					
3	3	65/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32			1/32	1	40						
