mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Andante	92.0			1.0	
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	0								0
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1								0
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2								0
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	3								0
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	4								
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	5								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	6								
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	7								
2	2	3	3	0.0	0	0	Dynamic	3/4	1	1	0					p							
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	8								1
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	9								
2	2	9/2	9/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0					f							
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	10								2
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	11								2
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	12								
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	13								
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	14								
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	15								
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	16								
3	3	13/2	13/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	17								
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	18								3
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	19								3
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	20								
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	21								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	22								
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	23								
4	4	9	9	0.16666666666666666	0	0	Chord	3/4	1	1	1/24		1/16	2/3	24								
4	4	55/6	55/6	0.16666666666666666	1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	25								
4	4	28/3	28/3	0.16666666666666666	1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	26								
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	27								
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	28								4
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	29								4
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	30								
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	31								
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	32								5
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	33								5
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	34								5
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	35								5
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	36								
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	37								6
5	5	25/2	25/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	38		ornamentShortTrill						
5	5	103/8	103/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	39								
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	40								
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	41								
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	42								
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43								
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	44								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	45								
