mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	3/4	1	1	0								Largo	46	
1	1	0	0.0	0	0	Tempo	3/4	1	1	0								 = 65	65	
1	1	0	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	0					0
1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	1					0
1	1	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	2					
1	1	0	1.0	0	0	Chord	3/4	1	2	1/4			1/4	1	3					
1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	4					
1	1	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	5					
1	1	0	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	6					
2	2	3	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	7					1
2	2	4	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	8					
2	2	11/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						p				
2	2	11/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32			1/32	1	9					
2	2	45/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32			1/32	1	10					
2	2	23/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	11					
2	2	3	1.0	0	0	Chord	3/4	1	2	1/4			1/4	1	12					
2	2	4	1.5	1/4	1/4	Chord	3/4	1	2	3/8			1/4	3/2	13					
2	2	3	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	14					
2	2	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	15					
3	3	6	0.125	0	0	Chord	3/4	1	1	1/32			1/32	1	16					
3	3	49/8	0.375	1/32	1/32	Chord	3/4	1	1	3/32			1/16	3/2	17					
3	3	13/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	18					
3	3	53/8	0.375	5/32	5/32	Chord	3/4	1	1	3/32			1/16	3/2	19					
3	3	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	20					
3	3	35/4	0.0	11/16	11/16	Dynamic	3/4	1	1	0						f				
3	3	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	21					
3	3	49/8	0.375	1/32	1/32	Chord	3/4	1	2	3/32			1/16	3/2	22					
3	3	13/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8			1/8	1	23					
3	3	7	1.5	1/4	1/4	Chord	3/4	1	2	3/8			1/4	3/2	24					
3	3	35/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16			1/16	1	25					
3	3	6	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	26					
3	3	7	1.5	1/4	1/4	Chord	3/4	2	1	3/8			1/4	3/2	27					
3	3	35/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	28					
4	4	9	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	29					2
4	4	10	0.75	1/4	1/4	Chord	3/4	1	1	3/16			1/8	3/2	30		ornamentTurn			
4	4	43/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	31					
4	4	11	0.75	1/2	1/2	Chord	3/4	1	1	3/16			1/8	3/2	32					
4	4	47/4	0.0	11/16	11/16	Dynamic	3/4	1	1	0						p				
4	4	47/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	33					
4	4	9	2.0	0	0	Chord	3/4	1	2	1/2			1/2	1	34					
4	4	47/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16			1/16	1	35					
4	4	9	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	36					
4	4	11	0.75	1/2	1/2	Chord	3/4	2	1	3/16			1/8	3/2	37					
4	4	47/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	38					
5	5	12	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	39					3
5	5	13	0.0	1/4	1/4	Dynamic	3/4	1	1	0						pp				
5	5	13	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	40					
5	5	59/4	0.0	11/16	11/16	Dynamic	3/4	1	1	0						f				
5	5	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	41					
5	5	12	2.0	0	0	Chord	3/4	1	2	1/2			1/2	1	42					
5	5	12	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	43					
5	5	59/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	44					
6	6	15	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	45					
6	6	16	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	46					
6	6	65/4	0.75	5/16	5/16	Chord	3/4	1	1	3/16			1/8	3/2	47					
6	6	17	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	48					
6	6	69/4	0.75	9/16	9/16	Chord	3/4	1	1	3/16			1/8	3/2	49					
6	6	15	1.0	0	0	Chord	3/4	1	2	1/4			1/4	1	50					
6	6	16	1.0	1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	51					
6	6	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	52					
6	6	15	1.0	0	0	Chord	3/4	2	2	1/4			1/4	1	53					
6	6	16	1.0	1/4	1/4	Chord	3/4	2	2	1/4			1/4	1	54					
6	6	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	55					
7	7	18	0.125	0	0	Chord	3/4	1	1	1/32			1/32	1	56					
7	7	145/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32			1/32	1	57					
7	7	73/4	0.75	1/16	1/16	Chord	3/4	1	1	3/16			1/8	3/2	58					
7	7	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	59		ornamentMordent			
7	7	18	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	60					
